크롤링시간,지역,가게이름,아이디,몇시간전,주문내용,댓글,맛,양,배달,사장,사진주소
9시간 전,권선동,코리엔탈깻잎두마리치킨-권선점,fl**님,9시간 전,"두마리 3가지맛 선택/1(치킨선택1(（NEW）치즈킹치킨),치킨선택2(（인기）양념),치킨선택3(슈프림 고추쏘핫),사이드추가(바삭대게튀김 4개))",항상 맛잇게 잘먹고잇어요 ♡,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/216e66e80fa0c88394bad29cc3b3a135_tn.jpg
16시간 전,권선동,코리엔탈깻잎두마리치킨-권선점,bo**님,16시간 전,"두마리 3가지맛 선택/1(치킨선택1(슈프림 양념),치킨선택2(간장),치킨선택3(파닭 양념),사이드추가(바삭대게튀김 4개,라이스 치즈볼 8개),음료추가(음료 1.25L 변경),음료(스프라이트 500ml))",정말 맛있고 배달도 빨리와서 다 먹고나서 리뷰써요~♡,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/11fe77edd98bfb5dad929a44ad7fd0a6_tn.jpg
4일 전,권선동,코리엔탈깻잎두마리치킨-권선점,t6**님,4일 전,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(후레쉬갈릭),음료추가(음료 1.25L 변경))",예상시간보다 일찍와서 좋았고 요청사항도 잘 들어주셔서 좋았어요. 맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/9d4050aad81a441e1c60c0d98e562128_tn.jpg
6일 전,권선동,코리엔탈깻잎두마리치킨-권선점,sk**님,6일 전,"두마리 3가지맛 선택/1(치킨선택1(（NEW）치즈킹치킨),치킨선택2(후라이드),치킨선택3(슈프림 양념))",3가지맛 주문했고 후라이드 치즈? 슈프림양념? 맛 먹었는데 셋 다 맛있었어요! 치즈는 체다치즈 맛 많이 나서 치즈 좋아하는 사람으로써 너무 맛있게 먹었습니당,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/af38a2e38ebf70be2d073b5faf6f49bd_tn.jpg
2021년 10월 23일,권선동,코리엔탈깻잎두마리치킨-권선점,fr**님,2021년 10월 23일,"[골드라벨]치즈킹치킨 두마리 세트＋국물떡볶이/1(치킨선택1(간장),국물떡볶이선택(국물떡볶이（보통맛）))",맛있어요~~ 소떡은 사랑입니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ee3b02971c49cb9904e620e5a9c394b8_tn.jpg
2021년 10월 22일,권선동,코리엔탈깻잎두마리치킨-권선점,gn**님,2021년 10월 22일,"두마리 3가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(간장))",잘 먹었습니다~ 순살중에서는 젤 좋은거같아요^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5788b0a884bccd9e1e5b21821f2003bc_tn.jpg
2021년 10월 22일,권선동,코리엔탈깻잎두마리치킨-권선점,hy**님,2021년 10월 22일,"[레드라벨]불마왕치킨 두마리 세트/1(치킨선택1(후라이드),음료추가(음료 1.25L 변경))",정말 맛있어요 언제나 기분좋은 식사시간이에요 항상 시켜먹지만 언제나 후회되지 않는 선택인거 깉아요^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/7bcb78608f30ba12ab4a4441dea6ea03_tn.jpg
2021년 10월 21일,권선동,코리엔탈깻잎두마리치킨-권선점,el**님,2021년 10월 21일,"[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(불마왕치킨),음료추가(음료 1.25L 변경))",맛있게 먹었습니다.보자마자 너무 맛있어보여서 사진도 못찍었네요 ㅎㅎ;;,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 20일,권선동,코리엔탈깻잎두마리치킨-권선점,le**님,2021년 10월 20일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(고추쏘핫))",지금껏 먹어본 순살치킨중에 가장 부드러운 배달도 빠르고 최고입니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d0c248bbce8403e6324ab3bbc6af9920_tn.jpg
2021년 10월 17일,권선동,코리엔탈깻잎두마리치킨-권선점,se**님,2021년 10월 17일,"두마리 3가지맛 선택/1(치킨선택1(후레쉬갈릭),치킨선택2(（BEST）수원 왕갈비치킨),치킨선택3(핫스파이스))",맛있게잘먹었어요~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/175ef2fefc1cd0575c11d786196ad333_tn.jpg
2021년 10월 16일,권선동,코리엔탈깻잎두마리치킨-권선점,in**님,2021년 10월 16일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(후라이드),치킨선택3(후라이드)),카스 병맥주/2",급한마음에  선택을 안했더니 다 후라이드만 왔는데...그래도 맛나요~ㅋㅋ,5,4,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6c1e8bb85da7805c0b93a8cfe5b3fa48_tn.jpg
2021년 10월 16일,권선동,코리엔탈깻잎두마리치킨-권선점,az**님,2021년 10월 16일,"세마리 3가지맛 선택/1(치킨선택1(치킨탕수육),치킨선택2(후라이드),치킨선택3(양파크리미치킨),음료추가(음료 1.25L 변경))",잘먹었습니다 맛있네요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/13752ab5069b061c740270fa51344a69_tn.jpg
2021년 10월 16일,권선동,코리엔탈깻잎두마리치킨-권선점,kd**님,2021년 10월 16일,"두마리 3가지맛 선택/1(치킨선택1(고추쏘핫),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(고추쏘핫))",잘 먹었습니다 사좡님,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5c6fffdb77442a2aeb559809f8c16a5c_tn.jpg
2021년 10월 13일,권선동,코리엔탈깻잎두마리치킨-권선점,eh**님,2021년 10월 13일,"세마리 3가지맛 선택/1(치킨선택1(파닭 양념),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(（인기）양념),음료추가(음료 1.25L 변경))",너무맛있어요!!!!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6777d927d29c3a011ebd9ac7ce98b02d_tn.jpg
2021년 10월 13일,권선동,코리엔탈깻잎두마리치킨-권선점,km**님,2021년 10월 13일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",양도 많고 잘먹었습니다!,5,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/160c8a7e769f17a9393653090dc3bc83_tn.jpg
2021년 10월 9일,권선동,코리엔탈깻잎두마리치킨-권선점,pj**님,2021년 10월 9일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념),치킨선택3(양파크리미치킨))",정말 맛잇엇습네다~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ea9f7ae6767bf97e4108b0e7c7dcaf8d_tn.jpg
2021년 10월 9일,권선동,코리엔탈깻잎두마리치킨-권선점,sd**님,2021년 10월 9일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(불마왕치킨))",맛잇어요 깻잎좋아요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ddfac130a9245f6118dfcf1739eca54a_tn.jpg
2021년 10월 9일,권선동,코리엔탈깻잎두마리치킨-권선점,se**님,2021년 10월 9일,황금지단치킨 두마리 세트/1(치킨선택2(까르보나라)),맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 8일,권선동,코리엔탈깻잎두마리치킨-권선점,si**님,2021년 10월 8일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(간장),치킨선택3(（추천）눈꽃스윗치즈))",정말 맛있게 잘먹었습니다 고기는 부드러운데 조금 느끼 할 수록 #식후감,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3b25add54f687da0ce491104b7a9acd0_tn.jpg
2021년 10월 8일,권선동,코리엔탈깻잎두마리치킨-권선점,na**님,2021년 10월 8일,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(슈프림 간장))",넘넘 맛있어요양이 많고 또 주문할게요,5,5,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/19d3e6071d40d7aeef9437eec868ffc9_tn.jpg
2021년 10월 8일,권선동,코리엔탈깻잎두마리치킨-권선점,wa**님,2021년 10월 8일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(슈프림 양념),치킨선택3(후레쉬갈릭))",개존맛 양도 조론나ㅜ많음 두번먹우세요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/1db6a8bf85b7b676f02b64d370d4d219_tn.jpg
2021년 10월 7일,권선동,코리엔탈깻잎두마리치킨-권선점,bb**님,2021년 10월 7일,"두마리 2가지맛 선택/1(치킨선택1(칠리),치킨선택2(후라이드))",오랜만에 먹었는데 진짜 양도많고 맛있었어요!!!!!!바삭바삭하고 존맛!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5604042c8b86507a2400137b0d05c658_tn.jpg
2021년 10월 7일,권선동,코리엔탈깻잎두마리치킨-권선점,ma**님,2021년 10월 7일,"두마리 2가지맛 선택/1(치킨선택1(파닭 후라이드),치킨선택2(슈프림 양념))",맛있네요 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 6일,권선동,코리엔탈깻잎두마리치킨-권선점,kh**님,2021년 10월 6일,"국민고추치킨＋국민고추치킨/1(순살／뼈 선택（필수）(순살),고추치킨선택1(국민고추치킨),고추치킨선택2(국민고추치킨 （까르보나라）))","시킨 메뉴가 품절이라 전화주셔서 업그레이드 해주시고 감사드립니다,  국민고추치킨 과하지 않은 맛있는 고추향이 매력적인 맛있는 치킨입니다,  두마리세트에 소떡과 케이준감자까지 있어서 엄청 배부르게 잘 먹었습니다,",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cd4ca6ff8cfd21a3f121940c04657c94_tn.jpg
2021년 10월 6일,권선동,코리엔탈깻잎두마리치킨-권선점,01**님,2021년 10월 6일,[레드라벨]불마왕치킨 두마리 세트/1(치킨선택1(（BEST）수원 왕갈비치킨)),짅자맛잇어요 감동ㅎ 살도 퍽퍽한거 하나도없고 최고,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/bf5def79c0c1c77712b65aa8ad5deb9e_tn.jpg
2021년 10월 6일,권선동,코리엔탈깻잎두마리치킨-권선점,zi**님,2021년 10월 6일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(불마왕치킨))",그냥 ... 그래요 ... 휴,2,4,2,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/aebb31ee62e447eb42451a7efe88253a_tn.jpg
2021년 10월 5일,권선동,코리엔탈깻잎두마리치킨-권선점,go**님,2021년 10월 5일,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(고추쏘핫))",양 엄청많아요 대략 4인분정도배달 빨라요~~^^가장 중요한 맛은 별한개는 뺄게요~~평타는 되는데 깻잎과 함께 먹으면 더 좋아요,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8c903cf530fb4eb37723b8ede6a999f1_tn.jpg
2021년 10월 5일,권선동,코리엔탈깻잎두마리치킨-권선점,ki**님,2021년 10월 5일,"두마리 2가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(（BEST）수원 왕갈비치킨))",배달도 빠르고 맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/16bf0e4c1ac3dacdc38999a94106fb69_tn.jpg
2021년 10월 5일,권선동,코리엔탈깻잎두마리치킨-권선점,ai**님,2021년 10월 5일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(후라이드))",백신 맞고 후유증 때문에 밖에 나가기 힘들어서 주문했어요. 맛있게 잘 먹었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e558826da4112f667f5fa492de568c08_tn.jpg
2021년 10월 5일,권선동,코리엔탈깻잎두마리치킨-권선점,ro**님,2021년 10월 5일,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(불마왕치킨))",깻잎얹어서 먹는게 너무 향이좋아요 요즘 치킨먹을때  따로 깻잎을사서먹어요ㅎ,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 5일,권선동,코리엔탈깻잎두마리치킨-권선점,on**님,2021년 10월 5일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(고추쏘핫),치킨선택3(양파크리미치킨))",양도 많고 감자튀김도 있어 좋았습니다. 단 튀김이 좀 두꺼워 계속 먹으니 느끼하단 생각이 들었습니다.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e0d86478d2f657e95ebd955d56bb0fba_tn.jpg
2021년 10월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,li**님,2021년 10월 4일,"두마리 3가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(간장))",정말 대단하네요 어디하나 대단하지 않은 부분이 없네요,1,4,4,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/e19cbc488ab42b78604b9dd72cd4f2d4_tn.jpg
2021년 10월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,08**님,2021년 10월 4일,"두마리 2가지맛 선택/1(치킨선택1(（추천）눈꽃스윗치즈),치킨선택2(치킨탕수육))",맛있게 잘 먹었습니다.다음에 또 시킬게요,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,wo**님,2021년 10월 4일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(슈프림 고추쏘핫),사이드추가(바삭대게튀김 4개))",맛잇게잘먹엇습니다 감사합니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/c66d6e2844088bf44f9d6bfe950cd5dc_tn.jpg
2021년 10월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,go**님,2021년 10월 4일,한마리 1가지맛 선택/1(치킨선택1(눈꽃허니버터)),배달하시는 분께 문자 남겨달라고 했는데.. 문앞에 두고 그냥 가셨네여.. 한시간 반 기다리다가 왜안오지 했는데.. 치킨은 맛있었어요..,5,5,1,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/49c6262f22f95a5cda93e0bb69b0bb69_tn.jpg
2021년 10월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,tj**님,2021년 10월 4일,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(슈프림 양념)),양도많고 맛있게 잘먹었습니다!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/048d30a3ea6f72400eedca01e452e226_tn.jpg
2021년 10월 4일,권선동,코리엔탈깻잎두마리치킨-권선점,ok**님,2021년 10월 4일,"두마리 2가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(치킨탕수육))",별점 5점 드리겠습니다,4,5,4,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,eh**님,2021년 10월 3일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념),음료추가(음료 1.25L 변경))",너무 맛있어요 굳굳 다음에도~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/71a7eb42abc46b05bbe8008040d95364_tn.jpg
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,wn**님,2021년 10월 3일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",배달도 빠르고 양도 푸짐해요^^ 항상 잘 먹습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8328c2ae0279f3f3b56067de53cdd25d_tn.jpg
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,fo**님,2021년 10월 3일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념),치킨선택3(（BEST）수원 왕갈비치킨))",세가지 맛 전부다 맛있었어요~!! 배송도 빨리 와주셨구요. 그리고 서비스로 주신 치즈볼 너무 맛납니다~!! 치킨에 깻잎 뿌려 먹는데 완전 잘 어울립니다~!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/d01e473c933ff51cf1ee7623755cbe47_tn.jpg
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,ss**님,2021년 10월 3일,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(슈프림 양념)),깻잎 넣고 먹어보니 색다르네요 ㅎㅎ맛있게 잘먹었습니다!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/cc48ef80abfaef985bfc186db2623818_tn.jpg
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,am**님,2021년 10월 3일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",밤에 야식으로 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/40dc890455d67c9e765b38f437ce76e8_tn.jpg
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,be**님,2021년 10월 3일,"두마리 2가지맛 선택/1(치킨선택1(고추쏘핫),치킨선택2(후레쉬갈릭))","먹고 기억이 나서 사진을 못찍었어요, 매운 치킨 너무맛있네요 ~~",5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,gn**님,2021년 10월 3일,"두마리 2가지맛 선택/1(치킨선택1(슈프림 핫스파이스),치킨선택2(후라이드),사이드추가(소떡소떡（양념맛）))",항상 맛있게 먹었는데 이번건 냄새가 좀 많이나서.. ㅠ,3,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 10월 3일,권선동,코리엔탈깻잎두마리치킨-권선점,hd**님,2021년 10월 3일,"두마리 2가지맛 선택/1(치킨선택1(슈프림 불마왕치킨),치킨선택2(（BEST）수원 왕갈비치킨))",양많고 맛있어요.,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/bd4afe01145a2e76414fd5eb4b5368e9_tn.jpg
2021년 10월 2일,권선동,코리엔탈깻잎두마리치킨-권선점,fr**님,2021년 10월 2일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",오랜만에 후라이드 양념시겼는데 맛있어요~ 소떡은 별미입니다~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6a0446f665002c89ffb16d9587838dc7_tn.jpg
2021년 10월 2일,권선동,코리엔탈깻잎두마리치킨-권선점,ti**님,2021년 10월 2일,"두마리 3가지맛 선택/1(치킨선택1(후라이드),치킨선택2(간장),치킨선택3(（인기）양념),사이드추가(국물떡볶이（보통맛）))",맛있게 잘 먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/80a427bc24f7a65a9b36c6837ae0a09f_tn.jpg
2021년 10월 2일,권선동,코리엔탈깻잎두마리치킨-권선점,km**님,2021년 10월 2일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(눈꽃허니버터))",저는 포장주문했어요. 주문이 밀려서 급하게 만들어 주셨음에도 불구하고 치킨 튀김이 너무 맛있어요! 꿀맛이에요 또 시켜먹을 의사 많아요!,5,5,0,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/232cf3e1c5d2ea9816902f39da6a2fbd_tn.jpg
2021년 10월 2일,권선동,코리엔탈깻잎두마리치킨-권선점,ph**님,2021년 10월 2일,"두마리 2가지맛 선택/1(치킨선택1(핫스파이스),치킨선택2(파닭 양념),음료추가(음료 1.25L 변경))",맛있게 잘먹었습니다!,4,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/ee1c82bdeb6816b326c6667c8740fb95_tn.jpg
2021년 10월 2일,권선동,코리엔탈깻잎두마리치킨-권선점,fl**님,2021년 10월 2일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（BEST）수원 왕갈비치킨))",맛있어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/344ee31863f9b70a245ed6d83c62c8b9_tn.jpg
2021년 10월 2일,권선동,코리엔탈깻잎두마리치킨-권선점,dl**님,2021년 10월 2일,"두마리 2가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(（추천）눈꽃스윗치즈))",존맛탱인데 배달원이 문자를 안주셔서 좀 식었네요 ㅜㅜ,5,5,3,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/62016f6e4e543141736bdbe021b7cfae_tn.jpg
2021년 10월 1일,권선동,코리엔탈깻잎두마리치킨-권선점,bo**님,2021년 10월 1일,"두마리 2가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(（추천）눈꽃스윗치즈))","천천히 가져다줘도 된다고 메모 했는데도,40분 안되서 배달이 왔네요~그 많고 많은 치킨중에 한번씩 생각나는 치킨이네요.맛은 변함없이 맛있고, 양또한 푸짐하네요.아주 흡족한 저녁 식사가 되었어요~추가로 더 챙겨주신 튀김도 맛있게 먹었어요^^항상 힘내시고 변함없는 맛 유지 부탁드려요~",5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6bd3763d0084b231bf96e5f4d0f0c216_tn.jpg
2021년 10월 1일,권선동,코리엔탈깻잎두마리치킨-권선점,gh**님,2021년 10월 1일,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(불마왕치킨)),배달도 빨리오고! 양도 많고!맛있습니당 맵고 나쵸같고 좋아요 ㅎㅎㅎ 서비스 치즈볼도 잘먹엇습니당,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/f81cc6c84a9fb0ced98f1300f2e3b694_tn.jpg
2021년 9월 30일,권선동,코리엔탈깻잎두마리치킨-권선점,nu**님,2021년 9월 30일,"두마리 2가지맛 선택/1(치킨선택1(파닭 양념),치킨선택2(（BEST）수원 왕갈비치킨))",배달후 문자 보내주셔라고 요청했는데 한시간이 훌쩍지나도 문자안와서 혹시나 하고문열어 보니 이미 다식어버린 음식이 있었네요...ㅋ 아쉽습니다 거리도 이삼백미터 이내 가게인데..,5,5,1,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 30일,권선동,코리엔탈깻잎두마리치킨-권선점,rl**님,2021년 9월 30일,황금지단치킨 두마리 세트/1(치킨선택2(（인기）양념)),여기만 시켜먹습니다. 양도 많고 순살중에서도 제일 부드러운 매장입니다.  감자튀김도 맛있는게 신기할 따름이네요!' 가격도 저렴해서 자주먹습니다,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
2021년 9월 30일,권선동,코리엔탈깻잎두마리치킨-권선점,jh**님,2021년 9월 30일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념),소스(양파크리미치킨 소스))",잘먹을게요~~~~~~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/3c79c670ff8f637484c507d1cbe8286c_tn.jpg
2021년 9월 30일,권선동,코리엔탈깻잎두마리치킨-권선점,op**님,2021년 9월 30일,"세마리 3가지맛 선택/1(치킨선택1(（BEST）수원 왕갈비치킨),치킨선택2(（추천）눈꽃스윗치즈),치킨선택3(치킨탕수육),음료추가(음료 1.25L 변경))",며칠전 시킨 조합이 별루여서 원래시키는 조합대로 시켰는데 역시 맛있네요~ 핫도그 잘 먹었습니다~ 배달도 빠름~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/b85c3a84387e7eb4de2376e80128d766_tn.jpg
2021년 9월 30일,권선동,코리엔탈깻잎두마리치킨-권선점,ym**님,2021년 9월 30일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(후레쉬갈릭))",항상 시켜먹는 깻잎 치킨이네요 ㅎ후레쉬 갈릭 첨 먹어봤는데 맛있네요^^,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/6f8cd64cf6db316a85dcb95757f5cdb6_tn.jpg
2021년 9월 28일,권선동,코리엔탈깻잎두마리치킨-권선점,qh**님,2021년 9월 28일,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(슈프림 양념)),치킨집 찾다가 깻잎? 치킨이라 신기해서 주문했는데 가격이랑맛이 짱짱 입니다 여기단골될꺼같아요!!맛있어요~,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/08a5b7754566af1307f9e54fa3c9af30_tn.jpg
2021년 9월 26일,권선동,코리엔탈깻잎두마리치킨-권선점,qw**님,2021년 9월 26일,"[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(후라이드),음료추가(음료 1.25L 변경))",쿨😍😍🥰😍🥰😍😍😍 맛있어요!!!다만 맛있어서 느끼한걸 못참았어요 😅😅그래도 항상 만점!!!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/db470d77574237d09bf0721eaf21b4e1_tn.jpg
2021년 9월 26일,권선동,코리엔탈깻잎두마리치킨-권선점,gh**님,2021년 9월 26일,"두마리 3가지맛 선택＋사이드 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념),치킨선택3(간장),사이드선택(라이스 치즈볼 8개))",맛있게 잘먹었습니다,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/8c9ab8de6faee1706e10a49934f01d7f_tn.jpg
2021년 9월 25일,권선동,코리엔탈깻잎두마리치킨-권선점,ki**님,2021년 9월 25일,"두마리 2가지맛 선택/1(치킨선택1(슈프림 양념),치킨선택2(（BEST）수원 왕갈비치킨))",배달도 빠르고 맛있게 잘먹었습니다! 달달하니 좋았어요,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/73a05c7c92ae43aad295c216fdf1a775_tn.jpg
2021년 9월 25일,권선동,코리엔탈깻잎두마리치킨-권선점,an**님,2021년 9월 25일,"두마리 2가지맛 선택/1(치킨선택1(（인기）양념),치킨선택2(후라이드))",요번에도 맛있게 잘 먹었습니다 !!,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5a33ecd719ca248b4a042f395f2dbfa5_tn.jpg
2021년 9월 22일,권선동,코리엔탈깻잎두마리치킨-권선점,fl**님,2021년 9월 22일,[골드라벨]치즈킹치킨 두마리 세트/1(치킨선택1(（추천）눈꽃스윗치즈)),역시 실망시키지않는 치킨집♡질좋고 양많고 맛잇고♡,5,5,5,----사장님 답글이 없어요 ----,https://rev-static.yogiyo.co.kr/5d50f760910fa6b8dab4161a260babdc_tn.jpg
2021년 9월 21일,권선동,코리엔탈깻잎두마리치킨-권선점,ql**님,2021년 9월 21일,"두마리 2가지맛 선택/1(치킨선택1(후라이드),치킨선택2(（인기）양념))",오랜만에 먹는 코리엔탈 깻잎두마리치킨여전히 맛있고 저의최애 치킨이에요!!,5,5,5,----사장님 답글이 없어요 ----,이미지는 없어요
